R	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
0	216	217	215	213	214	214	214	209	236	238	216	215	215	217	216	206	237	219	215	213	214	217	215	213	213	213	211	210	212	218	229	225	2	0	-21	-5	-1	-1	0	0	21	10	-49	-19	-2	0	0	0	22	-7	-46	-17	-1	-1	-1	-1	1	-7	-30	-13	-9	-1	0	-1
0	215	215	215	214	215	214	213	209	220	233	217	216	215	217	216	206	222	218	216	214	214	218	216	213	212	214	212	211	212	218	228	224	-1	-2	0	1	1	0	-1	0	-16	-5	1	1	0	0	0	0	-15	-1	1	1	0	1	1	0	-1	1	1	1	0	0	-1	-1
0	215	215	215	214	214	214	214	209	215	217	215	216	216	217	216	207	214	213	215	213	215	217	216	213	211	213	212	211	212	218	228	225	0	0	0	0	-1	0	1	0	-5	-16	-2	0	1	0	0	1	-8	-5	-1	-1	1	-1	0	0	-1	-1	0	0	0	0	0	1
0	215	215	215	214	215	215	214	210	215	216	215	215	216	218	217	207	213	213	215	214	215	218	217	214	211	213	212	210	213	218	229	225	0	0	0	0	1	1	0	1	0	-1	0	-1	0	1	1	0	-1	0	0	1	0	1	1	1	0	0	0	-1	1	0	1	0
0	214	215	214	214	214	214	214	209	214	216	215	215	216	217	216	207	213	213	215	213	214	217	216	213	210	213	212	211	212	218	227	224	-1	0	-1	0	-1	-1	0	-1	-1	0	0	0	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	-2	-1
0	214	215	215	214	215	215	214	209	214	216	215	215	217	218	216	207	213	213	215	213	215	218	217	213	211	213	212	211	213	218	228	225	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1
0	214	215	215	213	215	215	214	210	214	216	215	215	216	218	217	207	213	213	215	213	214	218	217	213	211	212	212	210	212	218	228	225	0	0	0	-1	0	0	0	1	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	0	0
0	214	214	214	214	215	215	213	209	214	216	215	215	216	218	216	206	213	213	215	213	215	218	216	213	211	213	211	210	212	218	227	224	0	-1	-1	1	0	0	-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	1	0	-1	0	0	1	-1	0	0	0	-1	-1
0	213	214	214	213	214	214	214	209	213	215	215	214	215	217	216	206	212	213	214	213	214	217	216	213	210	212	212	210	212	217	227	224	-1	0	0	-1	-1	-1	1	0	-1	-1	0	-1	-1	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	-1	1	0	0	-1	0	0
0	214	214	215	213	215	214	213	209	214	216	215	215	216	217	216	206	212	213	215	213	214	218	216	213	211	212	211	210	212	217	226	224	1	0	1	0	1	0	-1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	-1	0	0	0	-1	0
