R	1	2	3	4	5	6	7	8	9
0	909	991	1007	976	971	973	976	969	12
0	903	987	1003	970	975	976	980	974	35
0	909	993	1008	976	976	977	980	974	27
0	910	992	1010	977	972	973	977	970	19
0	910	991	1007	975	974	975	980	974	20
0	908	991	1006	975	973	973	978	972	10
0	909	990	1006	973	972	974	979	970	8
0	909	989	1005	972	977	979	983	977	23
0	907	987	1003	971	977	979	982	975	10
0	904	985	1000	969	974	975	980	972	22
0	908	987	1004	971	976	977	982	974	20
0	909	990	1007	974	973	974	979	971	21
0	906	985	1000	970	972	974	979	973	26
0	908	988	1004	974	980	981	985	978	37
0	907	988	1004	971	979	979	982	974	15
0	909	989	1005	974	976	977	982	975	13
0	911	990	1006	976	976	977	982	973	11
0	911	990	1006	977	975	977	981	974	5
0	910	988	1006	975	973	976	980	974	9
0	908	988	1003	974	975	976	980	974	10
0	911	989	1006	975	977	977	982	975	14
0	907	985	1002	973	976	976	981	974	18
0	909	987	1002	974	976	977	981	975	9
0	909	989	1004	974	975	976	981	973	11
0	911	988	1005	973	976	976	980	974	7
0	909	988	1004	974	978	978	982	976	12
0	909	986	1002	974	980	981	985	978	15
0	910	985	1003	973	974	978	980	973	21
0	909	985	1001	972	978	981	984	978	21
0	907	984	1002	972	977	978	984	977	11
0	908	983	1000	972	979	981	983	978	13
0	911	985	1005	976	977	977	982	976	23
0	912	987	1004	977	977	978	981	976	9
0	912	986	1004	975	976	978	981	973	10
0	908	983	1000	973	978	976	981	973	17
0	911	987	1003	975	974	977	980	974	18
0	911	985	1003	973	976	975	980	973	10
0	910	986	1003	974	973	974	978	973	9
0	911	984	1000	973	972	973	977	973	10
0	911	984	1001	973	973	975	979	972	9
0	911	985	1001	975	972	973	978	971	10
0	907	982	999	972	980	979	982	977	35
0	911	983	1001	973	971	970	974	969	40
0	914	987	1005	977	977	976	982	976	40
0	910	982	999	972	977	978	982	976	26
0	912	986	1001	975	976	975	980	975	18
0	912	985	1001	976	975	975	980	974	5
0	911	984	1001	974	976	976	981	973	8
0	910	983	1001	974	976	976	980	973	5
0	914	986	1002	976	975	973	979	973	15
0	914	986	1002	976	976	977	982	973	10
0	911	983	999	973	979	978	982	975	17
0	914	984	1002	976	975	974	978	973	23
0	911	981	998	972	977	979	980	976	25
0	914	984	1001	976	976	976	980	975	18
0	912	983	1000	973	975	975	980	974	11
0	912	983	999	973	976	976	978	973	6
0	911	982	999	973	975	976	978	973	7
0	911	981	999	973	974	976	978	973	6
0	908	979	996	971	973	975	979	972	15
0	909	979	997	972	975	976	979	973	8
0	908	979	996	973	975	974	979	975	14
0	909	978	995	972	976	975	978	975	9
0	909	978	995	970	973	975	976	973	10
0	907	977	994	969	975	974	977	973	9
0	908	977	994	971	973	972	977	973	7
0	908	976	995	970	975	975	979	973	10
0	907	976	992	968	975	974	979	973	7
0	908	975	992	969	975	975	978	973	7
0	910	978	995	970	973	974	977	972	14
0	908	978	995	971	972	973	977	971	9
0	908	978	994	971	976	976	980	974	15
0	911	980	996	973	978	977	983	977	17
0	907	977	993	970	977	977	981	977	18
0	909	978	994	970	977	977	981	976	11
0	905	973	991	967	977	976	980	975	21
0	909	977	994	971	977	975	980	974	19
0	908	977	994	971	977	977	980	976	4
0	912	981	998	975	975	975	977	973	25
0	913	980	997	973	977	977	979	975	14
0	912	980	999	973	976	974	979	974	15
0	913	981	998	975	974	974	977	972	12
0	909	977	993	971	973	973	977	971	22
0	912	979	995	973	973	974	978	973	12
0	912	978	995	973	974	973	976	974	8
0	911	978	995	971	973	971	976	972	12
0	917	983	999	976	974	975	977	973	29
0	912	979	995	972	978	978	981	977	31
0	912	979	994	973	974	974	978	972	17
0	909	976	992	968	976	977	979	973	22
0	909	976	993	968	975	976	980	974	9
